Tanggal,Values,
3/18/2020,SUM of Aceh,0
3/18/2020,SUM of Bali,1
3/18/2020,SUM of Banten,17
3/18/2020,SUM of Bangka Belitung,0
3/18/2020,SUM of Bengkulu,0
3/18/2020,SUM of DIY,3
3/18/2020,SUM of Jakarta,158
3/18/2020,SUM of Jambi,0
3/18/2020,SUM of Jabar,24
3/18/2020,SUM of Jateng,8
3/18/2020,SUM of Jatim,8
3/18/2020,SUM of Kalbar,2
3/18/2020,SUM of Kaltim,1
3/18/2020,SUM of Kalteng,0
3/18/2020,SUM of Kalsel,0
3/18/2020,SUM of Kaltara,0
3/18/2020,SUM of Kep Riau,1
3/18/2020,SUM of NTB,0
3/18/2020,SUM of Sumsel,0
3/18/2020,SUM of Sumbar,0
3/18/2020,SUM of Sulut,1
3/18/2020,SUM of Sumut,1
3/18/2020,SUM of Sultra,0
3/18/2020,SUM of Sulsel,0
3/18/2020,SUM of Sulteng,0
3/18/2020,SUM of Lampung,1
3/18/2020,SUM of Riau,1
3/18/2020,SUM of Maluku Utara,0
3/18/2020,SUM of Maluku,0
3/18/2020,SUM of Papua Barat,0
3/18/2020,SUM of Papua,0
3/18/2020,SUM of Sulbar,0
3/18/2020,SUM of NTT,0
3/18/2020,SUM of Gorontalo,0
3/18/2020,SUM of Z_NA,0
3/18/2020,SUM of NASIONAL,227
3/19/2020,SUM of Aceh,0
3/19/2020,SUM of Bali,1
3/19/2020,SUM of Banten,27
3/19/2020,SUM of Bangka Belitung,0
3/19/2020,SUM of Bengkulu,0
3/19/2020,SUM of DIY,4
3/19/2020,SUM of Jakarta,210
3/19/2020,SUM of Jambi,0
3/19/2020,SUM of Jabar,26
3/19/2020,SUM of Jateng,12
3/19/2020,SUM of Jatim,9
3/19/2020,SUM of Kalbar,2
3/19/2020,SUM of Kaltim,3
3/19/2020,SUM of Kalteng,0
3/19/2020,SUM of Kalsel,0
3/19/2020,SUM of Kaltara,0
3/19/2020,SUM of Kep Riau,3
3/19/2020,SUM of NTB,0
3/19/2020,SUM of Sumsel,0
3/19/2020,SUM of Sumbar,0
3/19/2020,SUM of Sulut,1
3/19/2020,SUM of Sumut,2
3/19/2020,SUM of Sultra,3
3/19/2020,SUM of Sulsel,2
3/19/2020,SUM of Sulteng,0
3/19/2020,SUM of Lampung,1
3/19/2020,SUM of Riau,1
3/19/2020,SUM of Maluku Utara,0
3/19/2020,SUM of Maluku,0
3/19/2020,SUM of Papua Barat,0
3/19/2020,SUM of Papua,0
3/19/2020,SUM of Sulbar,0
3/19/2020,SUM of NTT,0
3/19/2020,SUM of Gorontalo,0
3/19/2020,SUM of Z_NA,0
3/19/2020,SUM of NASIONAL,309
3/20/2020,SUM of Aceh,0
3/20/2020,SUM of Bali,3
3/20/2020,SUM of Banten,37
3/20/2020,SUM of Bangka Belitung,0
3/20/2020,SUM of Bengkulu,0
3/20/2020,SUM of DIY,4
3/20/2020,SUM of Jakarta,215
3/20/2020,SUM of Jambi,0
3/20/2020,SUM of Jabar,41
3/20/2020,SUM of Jateng,12
3/20/2020,SUM of Jatim,15
3/20/2020,SUM of Kalbar,2
3/20/2020,SUM of Kaltim,10
3/20/2020,SUM of Kalteng,2
3/20/2020,SUM of Kalsel,0
3/20/2020,SUM of Kaltara,0
3/20/2020,SUM of Kep Riau,4
3/20/2020,SUM of NTB,0
3/20/2020,SUM of Sumsel,0
3/20/2020,SUM of Sumbar,0
3/20/2020,SUM of Sulut,1
3/20/2020,SUM of Sumut,2
3/20/2020,SUM of Sultra,3
3/20/2020,SUM of Sulsel,2
3/20/2020,SUM of Sulteng,0
3/20/2020,SUM of Lampung,1
3/20/2020,SUM of Riau,1
3/20/2020,SUM of Maluku Utara,0
3/20/2020,SUM of Maluku,0
3/20/2020,SUM of Papua Barat,0
3/20/2020,SUM of Papua,0
3/20/2020,SUM of Sulbar,0
3/20/2020,SUM of NTT,0
3/20/2020,SUM of Gorontalo,0
3/20/2020,SUM of Z_NA,13
3/20/2020,SUM of NASIONAL,369
3/21/2020,SUM of Aceh,0
3/21/2020,SUM of Bali,3
3/21/2020,SUM of Banten,43
3/21/2020,SUM of Bangka Belitung,0
3/21/2020,SUM of Bengkulu,0
3/21/2020,SUM of DIY,5
3/21/2020,SUM of Jakarta,267
3/21/2020,SUM of Jambi,0
3/21/2020,SUM of Jabar,55
3/21/2020,SUM of Jateng,14
3/21/2020,SUM of Jatim,26
3/21/2020,SUM of Kalbar,2
3/21/2020,SUM of Kaltim,9
3/21/2020,SUM of Kalteng,2
3/21/2020,SUM of Kalsel,0
3/21/2020,SUM of Kaltara,0
3/21/2020,SUM of Kep Riau,4
3/21/2020,SUM of NTB,0
3/21/2020,SUM of Sumsel,0
3/21/2020,SUM of Sumbar,0
3/21/2020,SUM of Sulut,1
3/21/2020,SUM of Sumut,2
3/21/2020,SUM of Sultra,3
3/21/2020,SUM of Sulsel,2
3/21/2020,SUM of Sulteng,0
3/21/2020,SUM of Lampung,1
3/21/2020,SUM of Riau,1
3/21/2020,SUM of Maluku Utara,0
3/21/2020,SUM of Maluku,0
3/21/2020,SUM of Papua Barat,0
3/21/2020,SUM of Papua,0
3/21/2020,SUM of Sulbar,0
3/21/2020,SUM of NTT,0
3/21/2020,SUM of Gorontalo,0
3/21/2020,SUM of Z_NA,10
3/21/2020,SUM of NASIONAL,450
3/22/2020,SUM of Aceh,0
3/22/2020,SUM of Bali,3
3/22/2020,SUM of Banten,47
3/22/2020,SUM of Bangka Belitung,0
3/22/2020,SUM of Bengkulu,0
3/22/2020,SUM of DIY,5
3/22/2020,SUM of Jakarta,307
3/22/2020,SUM of Jambi,0
3/22/2020,SUM of Jabar,59
3/22/2020,SUM of Jateng,15
3/22/2020,SUM of Jatim,41
3/22/2020,SUM of Kalbar,2
3/22/2020,SUM of Kaltim,9
3/22/2020,SUM of Kalteng,2
3/22/2020,SUM of Kalsel,1
3/22/2020,SUM of Kaltara,0
3/22/2020,SUM of Kep Riau,4
3/22/2020,SUM of NTB,0
3/22/2020,SUM of Sumsel,0
3/22/2020,SUM of Sumbar,0
3/22/2020,SUM of Sulut,1
3/22/2020,SUM of Sumut,2
3/22/2020,SUM of Sultra,3
3/22/2020,SUM of Sulsel,2
3/22/2020,SUM of Sulteng,0
3/22/2020,SUM of Lampung,1
3/22/2020,SUM of Riau,1
3/22/2020,SUM of Maluku Utara,0
3/22/2020,SUM of Maluku,1
3/22/2020,SUM of Papua Barat,0
3/22/2020,SUM of Papua,2
3/22/2020,SUM of Sulbar,0
3/22/2020,SUM of NTT,0
3/22/2020,SUM of Gorontalo,0
3/22/2020,SUM of Z_NA,6
3/22/2020,SUM of NASIONAL,514
3/23/2020,SUM of Aceh,0
3/23/2020,SUM of Bali,6
3/23/2020,SUM of Banten,56
3/23/2020,SUM of Bangka Belitung,0
3/23/2020,SUM of Bengkulu,0
3/23/2020,SUM of DIY,5
3/23/2020,SUM of Jakarta,353
3/23/2020,SUM of Jambi,1
3/23/2020,SUM of Jabar,59
3/23/2020,SUM of Jateng,15
3/23/2020,SUM of Jatim,41
3/23/2020,SUM of Kalbar,2
3/23/2020,SUM of Kaltim,11
3/23/2020,SUM of Kalteng,2
3/23/2020,SUM of Kalsel,1
3/23/2020,SUM of Kaltara,0
3/23/2020,SUM of Kep Riau,5
3/23/2020,SUM of NTB,0
3/23/2020,SUM of Sumsel,0
3/23/2020,SUM of Sumbar,0
3/23/2020,SUM of Sulut,1
3/23/2020,SUM of Sumut,2
3/23/2020,SUM of Sultra,3
3/23/2020,SUM of Sulsel,2
3/23/2020,SUM of Sulteng,0
3/23/2020,SUM of Lampung,1
3/23/2020,SUM of Riau,1
3/23/2020,SUM of Maluku Utara,1
3/23/2020,SUM of Maluku,1
3/23/2020,SUM of Papua Barat,0
3/23/2020,SUM of Papua,2
3/23/2020,SUM of Sulbar,0
3/23/2020,SUM of NTT,0
3/23/2020,SUM of Gorontalo,0
3/23/2020,SUM of Z_NA,8
3/23/2020,SUM of NASIONAL,579
3/24/2020,SUM of Aceh,0
3/24/2020,SUM of Bali,6
3/24/2020,SUM of Banten,65
3/24/2020,SUM of Bangka Belitung,0
3/24/2020,SUM of Bengkulu,0
3/24/2020,SUM of DIY,6
3/24/2020,SUM of Jakarta,424
3/24/2020,SUM of Jambi,1
3/24/2020,SUM of Jabar,60
3/24/2020,SUM of Jateng,19
3/24/2020,SUM of Jatim,51
3/24/2020,SUM of Kalbar,3
3/24/2020,SUM of Kaltim,11
3/24/2020,SUM of Kalteng,3
3/24/2020,SUM of Kalsel,1
3/24/2020,SUM of Kaltara,0
3/24/2020,SUM of Kep Riau,5
3/24/2020,SUM of NTB,1
3/24/2020,SUM of Sumsel,1
3/24/2020,SUM of Sumbar,0
3/24/2020,SUM of Sulut,2
3/24/2020,SUM of Sumut,7
3/24/2020,SUM of Sultra,3
3/24/2020,SUM of Sulsel,4
3/24/2020,SUM of Sulteng,0
3/24/2020,SUM of Lampung,1
3/24/2020,SUM of Riau,1
3/24/2020,SUM of Maluku Utara,1
3/24/2020,SUM of Maluku,1
3/24/2020,SUM of Papua Barat,0
3/24/2020,SUM of Papua,3
3/24/2020,SUM of Sulbar,0
3/24/2020,SUM of NTT,0
3/24/2020,SUM of Gorontalo,0
3/24/2020,SUM of Z_NA,5
3/24/2020,SUM of NASIONAL,685
3/25/2020,SUM of Aceh,0
3/25/2020,SUM of Bali,9
3/25/2020,SUM of Banten,67
3/25/2020,SUM of Bangka Belitung,0
3/25/2020,SUM of Bengkulu,0
3/25/2020,SUM of DIY,18
3/25/2020,SUM of Jakarta,463
3/25/2020,SUM of Jambi,1
3/25/2020,SUM of Jabar,73
3/25/2020,SUM of Jateng,38
3/25/2020,SUM of Jatim,51
3/25/2020,SUM of Kalbar,3
3/25/2020,SUM of Kaltim,11
3/25/2020,SUM of Kalteng,3
3/25/2020,SUM of Kalsel,1
3/25/2020,SUM of Kaltara,0
3/25/2020,SUM of Kep Riau,5
3/25/2020,SUM of NTB,2
3/25/2020,SUM of Sumsel,1
3/25/2020,SUM of Sumbar,0
3/25/2020,SUM of Sulut,2
3/25/2020,SUM of Sumut,7
3/25/2020,SUM of Sultra,3
3/25/2020,SUM of Sulsel,13
3/25/2020,SUM of Sulteng,0
3/25/2020,SUM of Lampung,1
3/25/2020,SUM of Riau,1
3/25/2020,SUM of Maluku Utara,1
3/25/2020,SUM of Maluku,1
3/25/2020,SUM of Papua Barat,0
3/25/2020,SUM of Papua,3
3/25/2020,SUM of Sulbar,0
3/25/2020,SUM of NTT,0
3/25/2020,SUM of Gorontalo,0
3/25/2020,SUM of Z_NA,12
3/25/2020,SUM of NASIONAL,790
3/26/2020,SUM of Aceh,1
3/26/2020,SUM of Bali,9
3/26/2020,SUM of Banten,67
3/26/2020,SUM of Bangka Belitung,0
3/26/2020,SUM of Bengkulu,0
3/26/2020,SUM of DIY,18
3/26/2020,SUM of Jakarta,515
3/26/2020,SUM of Jambi,1
3/26/2020,SUM of Jabar,78
3/26/2020,SUM of Jateng,40
3/26/2020,SUM of Jatim,59
3/26/2020,SUM of Kalbar,3
3/26/2020,SUM of Kaltim,11
3/26/2020,SUM of Kalteng,6
3/26/2020,SUM of Kalsel,1
3/26/2020,SUM of Kaltara,0
3/26/2020,SUM of Kep Riau,5
3/26/2020,SUM of NTB,2
3/26/2020,SUM of Sumsel,1
3/26/2020,SUM of Sumbar,3
3/26/2020,SUM of Sulut,2
3/26/2020,SUM of Sumut,8
3/26/2020,SUM of Sultra,3
3/26/2020,SUM of Sulsel,27
3/26/2020,SUM of Sulteng,1
3/26/2020,SUM of Lampung,3
3/26/2020,SUM of Riau,2
3/26/2020,SUM of Maluku Utara,1
3/26/2020,SUM of Maluku,1
3/26/2020,SUM of Papua Barat,0
3/26/2020,SUM of Papua,7
3/26/2020,SUM of Sulbar,0
3/26/2020,SUM of NTT,0
3/26/2020,SUM of Gorontalo,0
3/26/2020,SUM of Z_NA,20
3/26/2020,SUM of NASIONAL,893
3/27/2020,SUM of Aceh,4
3/27/2020,SUM of Bali,9
3/27/2020,SUM of Banten,84
3/27/2020,SUM of Bangka Belitung,0
3/27/2020,SUM of Bengkulu,0
3/27/2020,SUM of DIY,19
3/27/2020,SUM of Jakarta,598
3/27/2020,SUM of Jambi,1
3/27/2020,SUM of Jabar,98
3/27/2020,SUM of Jateng,43
3/27/2020,SUM of Jatim,66
3/27/2020,SUM of Kalbar,3
3/27/2020,SUM of Kaltim,11
3/27/2020,SUM of Kalteng,6
3/27/2020,SUM of Kalsel,1
3/27/2020,SUM of Kaltara,0
3/27/2020,SUM of Kep Riau,5
3/27/2020,SUM of NTB,2
3/27/2020,SUM of Sumsel,1
3/27/2020,SUM of Sumbar,5
3/27/2020,SUM of Sulut,2
3/27/2020,SUM of Sumut,8
3/27/2020,SUM of Sultra,3
3/27/2020,SUM of Sulsel,29
3/27/2020,SUM of Sulteng,1
3/27/2020,SUM of Lampung,4
3/27/2020,SUM of Riau,2
3/27/2020,SUM of Maluku Utara,1
3/27/2020,SUM of Maluku,1
3/27/2020,SUM of Papua Barat,2
3/27/2020,SUM of Papua,7
3/27/2020,SUM of Sulbar,0
3/27/2020,SUM of NTT,0
3/27/2020,SUM of Gorontalo,0
3/27/2020,SUM of Z_NA,28
3/27/2020,SUM of NASIONAL,1046
3/28/2020,SUM of Aceh,4
3/28/2020,SUM of Bali,9
3/28/2020,SUM of Banten,103
3/28/2020,SUM of Bangka Belitung,0
3/28/2020,SUM of Bengkulu,0
3/28/2020,SUM of DIY,19
3/28/2020,SUM of Jakarta,627
3/28/2020,SUM of Jambi,1
3/28/2020,SUM of Jabar,119
3/28/2020,SUM of Jateng,55
3/28/2020,SUM of Jatim,77
3/28/2020,SUM of Kalbar,3
3/28/2020,SUM of Kaltim,17
3/28/2020,SUM of Kalteng,7
3/28/2020,SUM of Kalsel,1
3/28/2020,SUM of Kaltara,2
3/28/2020,SUM of Kep Riau,5
3/28/2020,SUM of NTB,2
3/28/2020,SUM of Sumsel,2
3/28/2020,SUM of Sumbar,5
3/28/2020,SUM of Sulut,2
3/28/2020,SUM of Sumut,8
3/28/2020,SUM of Sultra,3
3/28/2020,SUM of Sulsel,33
3/28/2020,SUM of Sulteng,2
3/28/2020,SUM of Lampung,4
3/28/2020,SUM of Riau,2
3/28/2020,SUM of Maluku Utara,1
3/28/2020,SUM of Maluku,1
3/28/2020,SUM of Papua Barat,2
3/28/2020,SUM of Papua,7
3/28/2020,SUM of Sulbar,0
3/28/2020,SUM of NTT,0
3/28/2020,SUM of Gorontalo,0
3/28/2020,SUM of Z_NA,30
3/28/2020,SUM of NASIONAL,1155
3/29/2020,SUM of Aceh,5
3/29/2020,SUM of Bali,10
3/29/2020,SUM of Banten,106
3/29/2020,SUM of Bangka Belitung,0
3/29/2020,SUM of Bengkulu,0
3/29/2020,SUM of DIY,19
3/29/2020,SUM of Jakarta,675
3/29/2020,SUM of Jambi,1
3/29/2020,SUM of Jabar,149
3/29/2020,SUM of Jateng,63
3/29/2020,SUM of Jatim,90
3/29/2020,SUM of Kalbar,8
3/29/2020,SUM of Kaltim,17
3/29/2020,SUM of Kalteng,7
3/29/2020,SUM of Kalsel,1
3/29/2020,SUM of Kaltara,2
3/29/2020,SUM of Kep Riau,5
3/29/2020,SUM of NTB,2
3/29/2020,SUM of Sumsel,2
3/29/2020,SUM of Sumbar,5
3/29/2020,SUM of Sulut,2
3/29/2020,SUM of Sumut,8
3/29/2020,SUM of Sultra,3
3/29/2020,SUM of Sulsel,47
3/29/2020,SUM of Sulteng,2
3/29/2020,SUM of Lampung,4
3/29/2020,SUM of Riau,2
3/29/2020,SUM of Maluku Utara,1
3/29/2020,SUM of Maluku,1
3/29/2020,SUM of Papua Barat,2
3/29/2020,SUM of Papua,9
3/29/2020,SUM of Sulbar,1
3/29/2020,SUM of NTT,0
3/29/2020,SUM of Gorontalo,0
3/29/2020,SUM of Z_NA,33
3/29/2020,SUM of NASIONAL,1285
3/30/2020,SUM of Aceh,5
3/30/2020,SUM of Bali,19
3/30/2020,SUM of Banten,128
3/30/2020,SUM of Bangka Belitung,1
3/30/2020,SUM of Bengkulu,0
3/30/2020,SUM of DIY,19
3/30/2020,SUM of Jakarta,698
3/30/2020,SUM of Jambi,2
3/30/2020,SUM of Jabar,180
3/30/2020,SUM of Jateng,81
3/30/2020,SUM of Jatim,91
3/30/2020,SUM of Kalbar,9
3/30/2020,SUM of Kaltim,17
3/30/2020,SUM of Kalteng,7
3/30/2020,SUM of Kalsel,5
3/30/2020,SUM of Kaltara,2
3/30/2020,SUM of Kep Riau,6
3/30/2020,SUM of NTB,2
3/30/2020,SUM of Sumsel,2
3/30/2020,SUM of Sumbar,8
3/30/2020,SUM of Sulut,2
3/30/2020,SUM of Sumut,13
3/30/2020,SUM of Sultra,3
3/30/2020,SUM of Sulsel,50
3/30/2020,SUM of Sulteng,2
3/30/2020,SUM of Lampung,8
3/30/2020,SUM of Riau,3
3/30/2020,SUM of Maluku Utara,1
3/30/2020,SUM of Maluku,1
3/30/2020,SUM of Papua Barat,2
3/30/2020,SUM of Papua,9
3/30/2020,SUM of Sulbar,1
3/30/2020,SUM of NTT,0
3/30/2020,SUM of Gorontalo,0
3/30/2020,SUM of Z_NA,37
3/30/2020,SUM of NASIONAL,1414
3/31/2020,SUM of Aceh,5
3/31/2020,SUM of Bali,19
3/31/2020,SUM of Banten,142
3/31/2020,SUM of Bangka Belitung,2
3/31/2020,SUM of Bengkulu,1
3/31/2020,SUM of DIY,24
3/31/2020,SUM of Jakarta,747
3/31/2020,SUM of Jambi,2
3/31/2020,SUM of Jabar,198
3/31/2020,SUM of Jateng,93
3/31/2020,SUM of Jatim,93
3/31/2020,SUM of Kalbar,9
3/31/2020,SUM of Kaltim,20
3/31/2020,SUM of Kalteng,9
3/31/2020,SUM of Kalsel,8
3/31/2020,SUM of Kaltara,2
3/31/2020,SUM of Kep Riau,7
3/31/2020,SUM of NTB,4
3/31/2020,SUM of Sumsel,5
3/31/2020,SUM of Sumbar,8
3/31/2020,SUM of Sulut,2
3/31/2020,SUM of Sumut,19
3/31/2020,SUM of Sultra,3
3/31/2020,SUM of Sulsel,50
3/31/2020,SUM of Sulteng,2
3/31/2020,SUM of Lampung,8
3/31/2020,SUM of Riau,3
3/31/2020,SUM of Maluku Utara,1
3/31/2020,SUM of Maluku,1
3/31/2020,SUM of Papua Barat,2
3/31/2020,SUM of Papua,10
3/31/2020,SUM of Sulbar,1
3/31/2020,SUM of NTT,0
3/31/2020,SUM of Gorontalo,0
3/31/2020,SUM of Z_NA,28
3/31/2020,SUM of NASIONAL,1528
4/1/2020,SUM of Aceh,5
4/1/2020,SUM of Bali,25
4/1/2020,SUM of Banten,152
4/1/2020,SUM of Bangka Belitung,2
4/1/2020,SUM of Bengkulu,1
4/1/2020,SUM of DIY,28
4/1/2020,SUM of Jakarta,808
4/1/2020,SUM of Jambi,2
4/1/2020,SUM of Jabar,220
4/1/2020,SUM of Jateng,104
4/1/2020,SUM of Jatim,104
4/1/2020,SUM of Kalbar,10
4/1/2020,SUM of Kaltim,21
4/1/2020,SUM of Kalteng,9
4/1/2020,SUM of Kalsel,8
4/1/2020,SUM of Kaltara,2
4/1/2020,SUM of Kep Riau,7
4/1/2020,SUM of NTB,6
4/1/2020,SUM of Sumsel,5
4/1/2020,SUM of Sumbar,8
4/1/2020,SUM of Sulut,3
4/1/2020,SUM of Sumut,22
4/1/2020,SUM of Sultra,3
4/1/2020,SUM of Sulsel,66
4/1/2020,SUM of Sulteng,2
4/1/2020,SUM of Lampung,8
4/1/2020,SUM of Riau,3
4/1/2020,SUM of Maluku Utara,1
4/1/2020,SUM of Maluku,1
4/1/2020,SUM of Papua Barat,2
4/1/2020,SUM of Papua,10
4/1/2020,SUM of Sulbar,1
4/1/2020,SUM of NTT,0
4/1/2020,SUM of Gorontalo,0
4/1/2020,SUM of Z_NA,28
4/1/2020,SUM of NASIONAL,1677
4/2/2020,SUM of Aceh,5
4/2/2020,SUM of Bali,25
4/2/2020,SUM of Banten,164
4/2/2020,SUM of Bangka Belitung,2
4/2/2020,SUM of Bengkulu,1
4/2/2020,SUM of DIY,29
4/2/2020,SUM of Jakarta,897
4/2/2020,SUM of Jambi,2
4/2/2020,SUM of Jabar,223
4/2/2020,SUM of Jateng,104
4/2/2020,SUM of Jatim,104
4/2/2020,SUM of Kalbar,10
4/2/2020,SUM of Kaltim,21
4/2/2020,SUM of Kalteng,9
4/2/2020,SUM of Kalsel,8
4/2/2020,SUM of Kaltara,2
4/2/2020,SUM of Kep Riau,7
4/2/2020,SUM of NTB,6
4/2/2020,SUM of Sumsel,11
4/2/2020,SUM of Sumbar,8
4/2/2020,SUM of Sulut,3
4/2/2020,SUM of Sumut,22
4/2/2020,SUM of Sultra,3
4/2/2020,SUM of Sulsel,66
4/2/2020,SUM of Sulteng,2
4/2/2020,SUM of Lampung,8
4/2/2020,SUM of Riau,7
4/2/2020,SUM of Maluku Utara,1
4/2/2020,SUM of Maluku,1
4/2/2020,SUM of Papua Barat,2
4/2/2020,SUM of Papua,10
4/2/2020,SUM of Sulbar,1
4/2/2020,SUM of NTT,0
4/2/2020,SUM of Gorontalo,0
4/2/2020,SUM of Z_NA,28
4/2/2020,SUM of NASIONAL,1790
4/3/2020,SUM of Aceh,5
4/3/2020,SUM of Bali,27
4/3/2020,SUM of Banten,170
4/3/2020,SUM of Bangka Belitung,2
4/3/2020,SUM of Bengkulu,2
4/3/2020,SUM of DIY,31
4/3/2020,SUM of Jakarta,971
4/3/2020,SUM of Jambi,2
4/3/2020,SUM of Jabar,225
4/3/2020,SUM of Jateng,114
4/3/2020,SUM of Jatim,155
4/3/2020,SUM of Kalbar,10
4/3/2020,SUM of Kaltim,22
4/3/2020,SUM of Kalteng,11
4/3/2020,SUM of Kalsel,8
4/3/2020,SUM of Kaltara,8
4/3/2020,SUM of Kep Riau,8
4/3/2020,SUM of NTB,7
4/3/2020,SUM of Sumsel,12
4/3/2020,SUM of Sumbar,8
4/3/2020,SUM of Sulut,3
4/3/2020,SUM of Sumut,22
4/3/2020,SUM of Sultra,6
4/3/2020,SUM of Sulsel,82
4/3/2020,SUM of Sulteng,4
4/3/2020,SUM of Lampung,11
4/3/2020,SUM of Riau,10
4/3/2020,SUM of Maluku Utara,1
4/3/2020,SUM of Maluku,1
4/3/2020,SUM of Papua Barat,2
4/3/2020,SUM of Papua,16
4/3/2020,SUM of Sulbar,1
4/3/2020,SUM of NTT,0
4/3/2020,SUM of Gorontalo,0
4/3/2020,SUM of Z_NA,31
4/3/2020,SUM of NASIONAL,1986
4/4/2020,SUM of Aceh,5
4/4/2020,SUM of Bali,32
4/4/2020,SUM of Banten,173
4/4/2020,SUM of Bangka Belitung,2
4/4/2020,SUM of Bengkulu,2
4/4/2020,SUM of DIY,34
4/4/2020,SUM of Jakarta,1028
4/4/2020,SUM of Jambi,2
4/4/2020,SUM of Jabar,247
4/4/2020,SUM of Jateng,120
4/4/2020,SUM of Jatim,155
4/4/2020,SUM of Kalbar,10
4/4/2020,SUM of Kaltim,24
4/4/2020,SUM of Kalteng,11
4/4/2020,SUM of Kalsel,8
4/4/2020,SUM of Kaltara,8
4/4/2020,SUM of Kep Riau,8
4/4/2020,SUM of NTB,7
4/4/2020,SUM of Sumsel,12
4/4/2020,SUM of Sumbar,8
4/4/2020,SUM of Sulut,3
4/4/2020,SUM of Sumut,25
4/4/2020,SUM of Sultra,6
4/4/2020,SUM of Sulsel,82
4/4/2020,SUM of Sulteng,4
4/4/2020,SUM of Lampung,11
4/4/2020,SUM of Riau,10
4/4/2020,SUM of Maluku Utara,1
4/4/2020,SUM of Maluku,1
4/4/2020,SUM of Papua Barat,2
4/4/2020,SUM of Papua,18
4/4/2020,SUM of Sulbar,1
4/4/2020,SUM of NTT,0
4/4/2020,SUM of Gorontalo,0
4/4/2020,SUM of Z_NA,37
4/4/2020,SUM of NASIONAL,2092
4/5/2020,SUM of Aceh,5
4/5/2020,SUM of Bali,35
4/5/2020,SUM of Banten,177
4/5/2020,SUM of Bangka Belitung,2
4/5/2020,SUM of Bengkulu,2
4/5/2020,SUM of DIY,35
4/5/2020,SUM of Jakarta,1124
4/5/2020,SUM of Jambi,2
4/5/2020,SUM of Jabar,252
4/5/2020,SUM of Jateng,120
4/5/2020,SUM of Jatim,188
4/5/2020,SUM of Kalbar,10
4/5/2020,SUM of Kaltim,30
4/5/2020,SUM of Kalteng,11
4/5/2020,SUM of Kalsel,16
4/5/2020,SUM of Kaltara,8
